
#v3
1495838341.495379 2017-05-27T11:51:31.300Z G  43.329170 -71.608643 452.099752 0.000 0.000 0.0 *
1495838344.533788 2017-05-27T11:51:34.000Z A 1  0.000  0.588  0.588  0.000  0.079  0.079  0.000  9.571  9.571 *
1495838345.000366 2017-05-27T11:51:34.000Z A 339  0.314  0.621  0.941 -0.549  0.084  0.510  9.061  9.599  10.160 *
1495838346.001061 2017-05-27T11:51:35.000Z A 688  0.392  0.626  0.863 -0.196  0.082  0.275  9.258  9.615  9.885 *
1495838347.000768 2017-05-27T11:51:36.000Z A 696  0.314  0.621  0.902 -0.196  0.098  0.392  9.297  9.599  9.846 *
1495838348.001071 2017-05-27T11:51:37.000Z A 709  0.392  0.621  0.824 -0.314  0.102  0.431  9.258  9.604  10.081 *
1495838349.001276 2017-05-27T11:51:38.000Z A 708  0.392  0.615  0.784 -0.196  0.105  0.314  9.140  9.602  9.885 *
1495838350.000558 2017-05-27T11:51:39.000Z A 706  0.314  0.628  0.941 -0.118  0.110  0.353  9.179  9.601  10.042 *
1495838351.000834 2017-05-27T11:51:40.000Z A 708  0.353  0.627  0.863 -0.118  0.122  0.471  9.258  9.586  9.924 *
1495838352.000877 2017-05-27T11:51:41.000Z A 696  0.353  0.634  0.941 -0.118  0.092  0.353  9.101  9.593  10.042 *
1495838353.000581 2017-05-27T11:51:42.000Z A 695  0.392  0.626  0.863 -0.118  0.107  0.314  9.218  9.601  10.003 *
1495838354.001376 2017-05-27T11:51:43.000Z A 710  0.392  0.622  0.824 -0.118  0.094  0.431  9.218  9.594  9.846 *
1495838355.000473 2017-05-27T11:51:44.000Z A 708  0.431  0.630  0.863 -0.118  0.097  0.314  9.297  9.592  9.885 *
1495838356.001520 2017-05-27T11:51:45.000Z A 709  0.431  0.625  0.863 -0.157  0.106  0.353  9.297  9.598  9.846 *
1495838357.000557 2017-05-27T11:51:46.000Z A 698  0.431  0.633  0.863 -0.118  0.093  0.353  9.297  9.588  9.807 *
1495838358.001115 2017-05-27T11:51:47.000Z A 710  0.392  0.630  0.863 -0.157  0.105  0.275  9.297  9.613  10.199 *
1495838359.001249 2017-05-27T11:51:48.000Z A 710  0.431  0.631  0.824 -0.118  0.092  0.314  9.258  9.588  9.885 *
1495838360.000503 2017-05-27T11:51:49.000Z A 710  0.431  0.638  0.863 -0.196  0.091  0.275  9.218  9.605  9.924 *
1495838361.001460 2017-05-27T11:51:50.000Z A 706  0.471  0.628  0.824 -0.235  0.111  0.314  9.179  9.584  9.885 *
1495838362.001277 2017-05-27T11:51:51.000Z A 699  0.314  0.631  0.981 -0.079  0.107  0.353  9.179  9.607  9.885 *
1495838363.001605 2017-05-27T11:51:52.000Z A 692  0.314  0.625  0.941 -0.118  0.091  0.353  9.258  9.602  9.924 *
1495838364.000408 2017-05-27T11:51:53.000Z A 710  0.392  0.629  0.863 -0.157  0.098  0.353  9.297  9.600  10.042 *
1495838365.001917 2017-05-27T11:51:54.000Z A 713  0.392  0.628  0.863 -0.275  0.113  0.314  9.336  9.601  9.846 *
1495838366.000639 2017-05-27T11:51:55.000Z A 706  0.353  0.631  0.902 -0.157  0.099  0.353  9.336  9.597  9.885 *
1495838367.000989 2017-05-27T11:51:56.000Z A 681  0.392  0.634  0.863 -0.118  0.109  0.353  9.297  9.605  9.924 *
1495838368.001320 2017-05-27T11:51:57.000Z A 706  0.431  0.622  0.824 -0.079  0.099  0.275  9.336  9.594  9.964 *
1495838369.000362 2017-05-27T11:51:58.000Z A 711  0.392  0.615  0.784 -0.196  0.095  0.314  9.297  9.610  9.885 *
1495838370.000477 2017-05-27T11:51:59.000Z A 709  0.353  0.617  0.863 -0.275  0.097  0.314  9.336  9.606  9.885 *
1495838371.000240 2017-05-27T11:52:00.000Z A 712  0.353  0.624  0.941 -0.157  0.106  0.353  9.258  9.586  9.885 *
1495838372.001492 2017-05-27T11:52:01.000Z A 694  0.314  0.625  0.863 -0.196  0.102  0.314  9.336  9.604  9.846 *
1495838373.000933 2017-05-27T11:52:02.000Z A 709  0.392  0.633  0.941 -0.235  0.098  0.275  9.218  9.607  9.846 *
1495838374.000955 2017-05-27T11:52:03.000Z A 709  0.431  0.629  0.863 -0.196  0.101  0.353  9.375  9.607  9.924 *
1495838375.001026 2017-05-27T11:52:04.000Z A 710  0.392  0.628  0.824 -0.118  0.105  0.353  9.297  9.616  9.964 *
1495838376.001557 2017-05-27T11:52:05.000Z A 707  0.431  0.625  0.824 -0.118  0.100  0.392  9.297  9.607  9.885 *
1495838377.000857 2017-05-27T11:52:06.000Z A 693  0.392  0.633  0.863 -0.079  0.103  0.275  9.336  9.598  9.924 *
1495838377.206606 2017-05-27T11:52:07.000Z G  43.329102 -71.608652 421.916024 25.027 0.701 185.1 *
1495838378.000590 2017-05-27T11:52:07.000Z A 691  0.392  0.624  0.824 -0.039  0.095  0.235  9.297  9.597  9.885 *
1495838379.001071 2017-05-27T11:52:08.000Z A 710  0.431  0.627  0.902 -0.079  0.107  0.392  9.336  9.611  9.885 *
1495838380.000951 2017-05-27T11:52:09.000Z A 709  0.353  0.614  0.863 -0.196  0.102  0.392  9.336  9.608  9.885 *
1495838381.000349 2017-05-27T11:52:10.000Z A 708  0.431  0.636  0.824 -0.157  0.097  0.275  9.140  9.616  9.924 *
1495838382.001327 2017-05-27T11:52:11.000Z A 698  0.353  0.624  0.863 -0.118  0.101  0.275  9.336  9.604  9.885 *
1495838383.001547 2017-05-27T11:52:12.000Z A 693  0.392  0.623  0.863 -0.314  0.097  0.314  9.140  9.604  9.885 *
1495838384.001285 2017-05-27T11:52:13.000Z A 709  0.353  0.630  0.824 -0.275  0.108  0.431  9.179  9.601  9.885 *
1495838385.000812 2017-05-27T11:52:14.000Z A 708  0.353  0.626  0.863 -0.118  0.105  0.353  9.297  9.612  9.964 *
1495838386.001162 2017-05-27T11:52:15.000Z A 708  0.431  0.627  0.824 -0.118  0.100  0.353  9.218  9.607  9.885 *
1495838387.000682 2017-05-27T11:52:16.000Z A 696  0.431  0.633  0.902 -0.157  0.100  0.314  9.297  9.599  9.846 *
1495838388.001248 2017-05-27T11:52:17.000Z A 711  0.235  0.613  0.863 -0.118  0.105  0.314  9.336  9.602  9.846 *
1495838389.001573 2017-05-27T11:52:18.000Z A 709  0.392  0.620  0.941 -0.118  0.096  0.275  9.297  9.609  9.885 *
1495838390.000678 2017-05-27T11:52:19.000Z A 708  0.392  0.628  0.863 -0.235  0.098  0.353  9.258  9.611  9.885 *
1495838391.000728 2017-05-27T11:52:20.000Z A 711  0.392  0.626  0.863 -0.118  0.089  0.314  9.336  9.613  9.885 *
1495838392.000438 2017-05-27T11:52:21.000Z A 696  0.431  0.637  0.902 -0.157  0.105  0.314  9.297  9.598  9.846 *
