
#v3
2017-06-24T11:36:57.000Z G  44.011608 -71.096930 530.839912 0.000 0.000 0 *
2017-06-24T11:36:57.000Z A 1 -1.177 -1.177  0.000 -0.745 -0.745  0.000  0.000  8.041  8.041 *
2017-06-24T11:37:00.000Z A 789 -3.334  0.140  3.060 -1.451  1.816  7.610  3.805  9.489  18.084 *
2017-06-24T11:37:01.000Z A 833 -3.923  0.046  3.452 -1.451  1.751  7.845  4.354  9.557  17.103 *
2017-06-24T11:37:02.000Z A 849 -3.923  0.068  2.785 -1.608  1.758  6.394  4.825  9.512  17.652 *
2017-06-24T11:37:03.000Z A 844 -3.609  0.067  3.530 -1.334  1.711  7.218  4.001  9.605  17.613 *
2017-06-24T11:37:04.000Z A 824 -3.923  0.100  3.099 -1.255  1.811  6.825  4.590  9.520  18.672 *
2017-06-24T11:37:05.000Z A 845 -4.040  0.031  2.864 -1.373  1.807  7.061  3.844  9.539  18.240 *
2017-06-24T11:37:06.000Z A 826 -4.472  0.038  3.334 -1.530  1.786  7.335  3.687  9.556  18.084 *
2017-06-24T11:37:07.000Z A 848 -4.040  0.048  3.020 -1.373  1.749  6.708  3.530  9.588  18.790 *
2017-06-24T11:37:08.000Z A 825 -3.805  0.096  3.177 -1.569  1.750  7.022  4.668  9.557  18.319 *
2017-06-24T11:37:09.000Z A 824 -3.766  0.093  3.295 -1.373  1.711  7.218  4.707  9.608  18.240 *
2017-06-24T11:37:10.000Z A 847 -4.080  0.079  3.099 -1.491  1.804  7.257  4.001  9.557  18.005 *
2017-06-24T11:37:11.000Z A 828 -3.923  0.054  3.648 -1.608  1.821  7.139  4.001  9.568  18.240 *
2017-06-24T11:37:12.000Z A 846 -3.648  0.075  2.550 -1.608  1.818  7.061  4.040  9.555  18.397 *
2017-06-24T11:37:13.000Z A 842 -4.511  0.017  3.177 -1.530  1.797  6.943  4.315  9.541  18.633 *
2017-06-24T11:37:14.000Z A 819 -4.472  0.070  3.452 -1.373  1.795  6.355  4.668  9.592  17.691 *
2017-06-24T11:37:15.000Z A 848 -4.119  0.104  3.217 -1.491  1.781  6.943  4.825  9.555  17.573 *
2017-06-24T11:37:16.000Z A 828 -4.707  0.056  3.138 -1.647  1.740  6.472  4.511  9.508  17.848 *
2017-06-24T11:37:17.000Z A 847 -3.727  0.085  3.060 -1.451  1.797  6.590  4.119  9.571  19.025 *
2017-06-24T11:37:18.000Z A 839 -4.080  0.094  3.334 -2.079  1.761  6.904  4.786  9.482  17.024 *
2017-06-24T11:37:19.000Z A 826 -3.923  0.071  3.138 -1.334  1.785  6.668  4.786  9.516  17.770 *
2017-06-24T11:37:20.000Z A 846 -4.040  0.095  3.060 -1.608  1.644  7.218  4.119  9.691  19.103 *
2017-06-24T11:37:21.000Z A 827 -4.393  0.076  3.923 -1.491  1.777  6.982  4.393  9.550  17.495 *
2017-06-24T11:37:22.000Z A 847 -3.570  0.050  2.864 -1.412  1.811  7.453  3.413  9.610  18.358 *
2017-06-24T11:37:23.000Z A 842 -4.158  0.050  3.217 -1.530  1.826  6.865  4.590  9.528  17.809 *
2017-06-24T11:37:24.000Z A 805 -3.727  0.066  2.864 -1.334  1.751  7.061  4.119  9.603  17.848 *
2017-06-24T11:37:25.000Z A 838 -2.864  0.147  3.177 -1.451  1.609  6.080  4.825  9.663  17.848 *
2017-06-24T11:37:26.000Z A 824 -3.766  0.057  2.746 -1.294  1.770  7.178  4.825  9.509  17.377 *
2017-06-24T11:37:27.000Z A 845 -3.687  0.050  2.824 -1.687  1.699  6.433  4.825  9.611  18.358 *
2017-06-24T11:37:28.000Z A 841 -4.001  0.049  3.060 -1.647  1.740  7.022  4.825  9.523  16.828 *
2017-06-24T11:37:29.000Z A 826 -4.393  0.044  3.177 -1.334  1.732  6.708  4.354  9.574  18.358 *
2017-06-24T11:37:30.000Z A 847 -3.766  0.083  3.648 -1.647  1.758  7.218  3.727  9.472  17.534 *
2017-06-24T11:37:31.000Z A 825 -4.080  0.089  3.648 -1.334  1.784  7.100  4.158  9.534  17.652 *
2017-06-24T11:37:32.000Z A 848 -4.040  0.119  3.177 -1.569  1.699  7.845  3.334  9.523  18.358 *
2017-06-24T11:37:33.000Z A 844 -4.472  0.062  3.491 -1.687  1.844  7.728  4.119  9.527  18.397 *
2017-06-24T11:37:34.000Z A 819 -4.001  0.140  2.864 -1.530  1.808  6.786  4.668  9.539  18.005 *
2017-06-24T11:37:35.000Z A 847 -4.040  0.104  3.138 -1.647  1.839  7.492  3.452  9.567  18.829 *
2017-06-24T11:37:36.000Z A 826 -4.119  0.127  3.256 -1.412  1.800  6.590  3.648  9.508  18.201 *
2017-06-24T11:37:37.000Z A 849 -4.237  0.076  2.824 -1.804  1.809  7.845  4.315  9.500  18.750 *
2017-06-24T11:37:38.000Z A 815 -4.393  0.091  3.687 -1.687  1.802  7.178  4.433  9.545  18.358 *
2017-06-24T11:37:39.000Z A 825 -3.687  0.085  2.981 -1.451  1.739  6.198  5.139  9.514  17.260 *
2017-06-24T11:37:40.000Z A 847 -4.393  0.043  3.256 -1.491  1.780  7.375  3.570  9.598  18.201 *
2017-06-24T11:37:41.000Z A 828 -4.080  0.107  3.530 -1.412  1.772  7.296  4.668  9.471  18.868 *
2017-06-24T11:37:42.000Z A 847 -4.276  0.093  3.452 -1.608  1.731  7.257  4.080  9.685  18.711 *
2017-06-24T11:37:43.000Z A 840 -4.197  0.112  3.609 -1.687  1.775  6.472  4.864  9.481  17.024 *
2017-06-24T11:37:44.000Z A 822 -3.883  0.094  3.373 -1.216  1.744  7.022  4.629  9.589  17.730 *
2017-06-24T11:37:45.000Z A 849 -4.590  0.072  3.334 -1.530  1.774  7.414  4.746  9.557  17.887 *
2017-06-24T11:37:46.000Z A 825 -3.844  0.054  3.609 -1.098  1.762  6.394  5.492  9.537  16.907 *
2017-06-24T11:37:47.000Z A 848 -4.197  0.084  3.217 -1.569  1.793  7.688  4.315  9.575  18.005 *
2017-06-24T11:37:48.000Z A 842 -4.237  0.091  3.334 -1.451  1.764  7.492  4.315  9.569  18.593 *
2017-06-24T11:37:49.000Z A 826 -3.766  0.083  3.177 -1.451  1.721  7.178  4.080  9.513  17.809 *
2017-06-24T11:37:50.000Z A 843 -4.276  0.081  3.570 -1.647  1.774  6.865  4.864  9.502  17.456 *
2017-06-24T11:37:51.000Z A 827 -4.354  0.078  3.099 -1.412  1.815  6.982  4.119  9.511  17.103 *
2017-06-24T11:37:52.000Z A 848 -4.276  0.079  3.687 -1.922  1.795  7.100  4.197  9.542  18.750 *
2017-06-24T11:37:53.000Z A 843 -4.668  0.079  3.099 -1.451  1.789  6.825  4.707  9.465  17.456 *
2017-06-24T11:37:54.000Z A 822 -4.707  0.125  2.981 -1.334  1.793  6.668  4.864  9.525  18.280 *
2017-06-24T11:37:55.000Z A 848 -4.825  0.040  3.177 -1.647  1.803  7.139  4.393  9.509  18.319 *
2017-06-24T11:37:56.000Z A 809 -4.237  0.098  3.491 -1.451  1.716  6.355  4.511  9.515  18.907 *
2017-06-24T11:37:57.000Z G  44.011605 -71.096940 536.417340 0.001 0.000 246 *
2017-06-24T11:37:57.000Z A 849 -4.001  0.144  3.648 -1.451  1.708  6.786  4.237  9.541  17.613 *
2017-06-24T11:37:58.000Z A 840 -3.923  0.115  3.334 -1.177  1.773  6.825  4.550  9.532  17.966 *
2017-06-24T11:37:59.000Z A 827 -4.237  0.029  2.785 -1.569  1.860  7.963  4.393  9.465  18.319 *
2017-06-24T11:38:00.000Z A 847 -4.276  0.097  3.138 -1.451  1.787  6.943  4.276  9.471  17.338 *
2017-06-24T11:38:01.000Z A 825 -4.276  0.046  3.099 -1.294  1.779  6.786  4.668  9.576  18.554 *
2017-06-24T11:38:02.000Z A 848 -4.629  0.095  3.491 -1.451  1.740  6.002  4.550  9.538  17.887 *
2017-06-24T11:38:03.000Z A 842 -3.962  0.095  3.060 -1.177  1.753  7.100  4.629  9.557  18.084 *
2017-06-24T11:38:04.000Z A 826 -3.609  0.110  2.746 -1.491  1.678  7.178  3.727  9.654  18.515 *
2017-06-24T11:38:05.000Z A 848 -4.315  0.065  3.570 -1.961  1.808  6.747  4.668  9.551  18.044 *
2017-06-24T11:38:06.000Z A 826 -3.962  0.095  3.217 -1.647  1.810  6.668  4.237  9.456  18.240 *
2017-06-24T11:38:07.000Z A 844 -3.373  0.166  3.687 -1.412  1.648  6.002  4.746  9.568  16.358 *
2017-06-24T11:38:08.000Z A 841 -4.315  0.078  3.452 -1.412  1.666  6.512  3.530  9.613  18.240 *
2017-06-24T11:38:09.000Z A 827 -3.923  0.081  3.413 -1.334  1.796  7.453  3.295  9.496  18.593 *
2017-06-24T11:38:10.000Z A 827 -3.962  0.044  3.609 -1.608  1.773  6.237  4.864  9.439  17.495 *
2017-06-24T11:38:11.000Z A 825 -4.629  0.017  3.060 -1.530  1.915  5.962  4.864  9.419  17.809 *
2017-06-24T11:38:12.000Z A 847 -4.629  0.050  3.530 -1.569  1.745  6.002  4.590  9.545  17.534 *
2017-06-24T11:38:13.000Z A 843 -3.766  0.107  3.060 -1.177  1.758  6.708  4.707  9.545  17.887 *
2017-06-24T11:38:14.000Z A 819 -4.080  0.062  2.824 -1.647  1.761  7.649  3.609  9.528  18.593 *
2017-06-24T11:38:15.000Z A 848 -4.864  0.061  3.727 -1.530  1.784  6.080  4.433  9.538  18.162 *
2017-06-24T11:38:16.000Z A 826 -5.139  0.076  3.138 -1.530  1.781  7.610  3.648  9.545  19.025 *
2017-06-24T11:38:17.000Z A 844 -5.139  0.078  3.844 -1.804  1.825  6.551  5.021  9.475  17.260 *
2017-06-24T11:38:18.000Z A 842 -4.393  0.040  3.648 -1.334  1.733  6.590  4.472  9.599  17.613 *
2017-06-24T11:38:19.000Z A 826 -4.511  0.048  3.648 -1.687  1.841  5.806  4.511  9.492  16.907 *
2017-06-24T11:38:20.000Z A 846 -4.746  0.049  3.491 -1.451  1.883  7.257  4.668  9.446  17.770 *
2017-06-24T11:38:21.000Z A 830 -3.923  0.073  3.256 -1.608  1.785  7.139  4.315  9.595  18.319 *
2017-06-24T11:38:22.000Z A 48 -2.510  0.124  2.158 -0.824  1.636  5.217  4.864  9.535  17.181 *
2017-06-24T11:38:23.000Z A 842 -3.962  0.119  3.570 -1.334  1.691  6.276  4.354  9.618  18.946 *
2017-06-24T11:38:24.000Z A 823 -3.923  0.152  3.256 -1.491  1.687  6.668  4.550  9.572  18.397 *
2017-06-24T11:38:25.000Z A 825 -3.609  0.125  3.373 -1.294  1.711  7.257  3.413  9.569  18.672 *
2017-06-24T11:38:26.000Z A 825 -4.511  0.081  3.217 -1.530  1.833  6.943  4.315  9.531  19.143 *
2017-06-24T11:38:27.000Z A 847 -4.080  0.105  3.177 -1.491  1.747  7.649  3.962  9.619  18.240 *
2017-06-24T11:38:28.000Z A 839 -5.099  0.034  3.099 -1.569  1.781  7.257  4.276  9.517  18.436 *
2017-06-24T11:38:29.000Z A 817 -4.511  0.014  3.334 -1.451  1.798  7.688  3.334  9.567  18.515 *
2017-06-24T11:38:30.000Z A 825 -3.962  0.111  3.530 -1.647  1.766  7.139  3.923  9.494  18.829 *
2017-06-24T11:38:31.000Z A 832 -4.237  0.061  3.491 -1.687  1.720  6.747  4.040  9.562  18.240 *
2017-06-24T11:38:32.000Z A 837 -4.707  0.047  3.844 -1.647  1.834  7.139  4.825  9.463  19.378 *
