
#v3
2017-09-30T12:41:33.000Z G  43.616878 -71.166043 585.301856 0.00 0 249 *
2017-09-30T12:41:33.000Z A 1  0.000  1.687  1.687  0.000  1.883  1.883  0.000  8.473  8.473 *
2017-09-30T12:41:33.000Z A 812 -2.942  0.045  2.118 -2.040  0.953  3.138  4.276  9.445  16.044 *
2017-09-30T12:41:33.000Z A 819 -2.824  0.056  2.079 -2.001  0.929  3.099  4.001  9.438  15.848 *
2017-09-30T12:41:38.000Z A 766 -3.256  0.049  2.118 -1.726  0.929  2.903  4.354  9.504  15.887 *
2017-09-30T12:41:39.000Z A 844 -2.942  0.058  2.197 -1.608  0.917  3.099  4.040  9.529  16.397 *
2017-09-30T12:41:40.000Z A 835 -2.589  0.082  2.001 -1.765  0.935  2.942  4.158  9.461  15.534 *
2017-09-30T12:41:41.000Z A 810 -3.099  0.070  2.236 -1.922  0.907  3.060  3.923  9.530  16.201 *
2017-09-30T12:41:42.000Z A 845 -3.099  0.067  2.197 -1.647  0.938  3.138  3.883  9.481  16.161 *
2017-09-30T12:41:43.000Z A 816 -3.020  0.052  1.961 -2.118  0.928  2.981  4.080  9.565  16.789 *
2017-09-30T12:41:44.000Z A 825 -3.413  0.057  2.001 -1.804  0.901  2.981  4.001  9.559  16.044 *
2017-09-30T12:41:45.000Z A 843 -2.942  0.059  2.118 -1.765  0.914  3.060  4.158  9.511  15.612 *
2017-09-30T12:41:46.000Z A 829 -3.020  0.046  2.040 -2.275  0.933  3.256  4.119  9.494  16.240 *
2017-09-30T12:41:47.000Z A 846 -2.942  0.081  2.040 -1.726  0.952  2.981  4.001  9.486  16.161 *
2017-09-30T12:41:48.000Z A 836 -2.981  0.012  1.961 -2.158  0.897  2.981  4.040  9.525  15.926 *
2017-09-30T12:41:49.000Z A 828 -3.138  0.044  2.158 -1.491  0.923  3.138  3.844  9.498  16.358 *
2017-09-30T12:41:50.000Z A 845 -2.981  0.050  2.158 -2.393  0.893  2.942  4.197  9.513  15.887 *
2017-09-30T12:41:51.000Z A 824 -2.785  0.061  2.158 -2.001  0.921  3.217  4.393  9.533  16.044 *
2017-09-30T12:41:52.000Z A 844 -2.824  0.086  2.040 -1.569  0.907  3.256  4.158  9.466  16.201 *
2017-09-30T12:41:53.000Z A 840 -2.667  0.061  2.118 -1.883  0.942  2.903  4.158  9.435  16.083 *
2017-09-30T12:41:54.000Z A 824 -3.295  0.059  2.001 -1.530  0.919  3.177  4.080  9.546  15.926 *
2017-09-30T12:41:55.000Z A 833 -2.864  0.077  2.118 -2.001  0.910  3.138  4.119  9.478  16.005 *
2017-09-30T12:41:56.000Z A 822 -3.138  0.051  2.197 -1.844  0.961  3.177  3.923  9.479  16.279 *
2017-09-30T12:41:57.000Z A 846 -3.256  0.070  2.197 -1.804  0.893  3.099  3.962  9.459  16.161 *
2017-09-30T12:41:58.000Z A 837 -2.942  0.052  2.001 -1.883  0.943  3.138  3.923  9.557  15.769 *
2017-09-30T12:41:59.000Z A 825 -3.256  0.052  2.118 -1.687  0.897  2.981  3.530  9.487  16.514 *
2017-09-30T12:42:00.000Z A 841 -2.510  0.035  2.197 -2.001  0.917  3.099  3.962  9.558  16.005 *
2017-09-30T12:42:01.000Z A 826 -3.727  0.074  2.158 -1.765  0.921  3.138  4.080  9.461  16.201 *
2017-09-30T12:42:02.000Z A 835 -2.981  0.058  2.118 -1.883  0.905  3.060  3.570  9.503  16.240 *
2017-09-30T12:42:03.000Z A 836 -3.020  0.074  2.040 -1.922  0.946  3.177  3.530  9.440  15.612 *
2017-09-30T12:42:04.000Z A 824 -3.530  0.054  2.236 -1.569  0.919  3.177  3.844  9.536  16.201 *
2017-09-30T12:42:05.000Z A 845 -3.020  0.055  2.236 -1.844  0.938  3.413  3.452  9.515  16.475 *
2017-09-30T12:42:06.000Z A 827 -3.099  0.080  2.079 -1.844  0.929  3.177  3.570  9.471  16.436 *
2017-09-30T12:42:07.000Z A 845 -3.530  0.058  2.079 -1.687  0.922  3.099  3.609  9.496  16.279 *
2017-09-30T12:42:08.000Z A 836 -3.060  0.047  2.236 -1.961  0.935  3.138  3.491  9.496  15.848 *
2017-09-30T12:42:09.000Z A 820 -2.942  0.074  2.118 -1.726  0.931  3.530  3.373  9.467  16.593 *
2017-09-30T12:42:10.000Z A 843 -3.491  0.060  2.118 -2.079  0.925  3.373  3.609  9.483  16.044 *
2017-09-30T12:42:11.000Z A 806 -2.981  0.053  2.079 -1.804  0.905  2.942  3.609  9.592  16.161 *
2017-09-30T12:42:12.000Z A 845 -3.177  0.066  1.922 -1.726  0.918  3.099  3.177  9.524  16.436 *
2017-09-30T12:42:13.000Z A 837 -3.060  0.070  2.275 -1.961  0.907  3.099  3.491  9.513  16.161 *
2017-09-30T12:42:14.000Z A 822 -3.570  0.059  2.197 -1.765  0.884  2.981  3.648  9.496  16.161 *
2017-09-30T12:42:15.000Z A 844 -3.060  0.061  2.197 -1.961  0.908  3.060  3.177  9.422  16.632 *
2017-09-30T12:42:16.000Z A 828 -3.373  0.079  2.079 -1.804  0.898  3.138  3.805  9.465  16.044 *
