
#v3
2017-10-06T13:53:26.000Z G  43.329218 -71.608590 400.262480 0.00 0 54 *
2017-10-06T13:53:29.000Z A 1  0.000  1.569  1.569  0.000  1.647  1.647  0.000  8.434  8.434 *
2017-10-06T13:53:29.000Z A 821 -4.511  0.212  4.433 -3.334  0.246  3.177  5.609  9.512  13.219 *
2017-10-06T13:53:31.000Z A 828 -4.707  0.220  4.237 -3.256  0.249  3.060  5.806  9.512  14.161 *
2017-10-06T13:53:32.000Z A 829 -4.511  0.254  4.315 -3.334  0.231  2.942  5.609  9.493  14.122 *
2017-10-06T13:53:33.000Z A 842 -4.550  0.235  4.629 -3.373  0.249  3.452  5.649  9.530  14.200 *
2017-10-06T13:53:34.000Z A 842 -4.707  0.211  4.393 -3.491  0.256  2.942  5.570  9.477  13.729 *
2017-10-06T13:53:34.000Z A 811 -4.433  0.200  4.472 -3.295  0.266  3.138  5.766  9.549  14.200 *
2017-10-06T13:53:36.000Z A 819 -4.433  0.150  4.707 -3.295  0.255  3.256  5.923  9.552  13.768 *
2017-10-06T13:53:37.000Z A 840 -4.590  0.249  4.668 -3.530  0.270  3.413  5.649  9.512  14.357 *
2017-10-06T13:53:38.000Z A 814 -4.707  0.134  5.021 -2.981  0.281  3.020  5.178  9.558  13.690 *
2017-10-06T13:53:37.000Z A 841 -4.511  0.240  4.315 -3.373  0.220  3.570  5.766  9.510  13.768 *
2017-10-06T13:53:37.000Z A 843 -4.629  0.238  4.511 -3.295  0.220  3.177  4.982  9.505  13.768 *
2017-10-06T13:53:39.000Z A 823 -4.746  0.211  4.707 -2.981  0.250  3.256  5.727  9.496  14.122 *
2017-10-06T13:53:40.000Z A 840 -4.825  0.219  4.315 -3.452  0.215  3.217  5.374  9.506  13.415 *
2017-10-06T13:53:41.000Z A 814 -4.590  0.229  4.550 -3.491  0.276  3.177  5.609  9.483  13.651 *
2017-10-06T13:53:42.000Z A 844 -4.707  0.243  4.629 -3.256  0.254  2.903  5.806  9.489  13.533 *
2017-10-06T13:53:42.000Z A 845 -4.511  0.188  4.315 -3.491  0.276  3.334  5.531  9.549  13.612 *
2017-10-06T13:53:44.000Z A 825 -4.668  0.203  4.354 -3.334  0.284  3.334  5.609  9.505  14.239 *
2017-10-06T13:53:45.000Z A 822 -4.668  0.178  4.315 -3.138  0.258  3.373  5.570  9.578  14.278 *
2017-10-06T13:53:46.000Z A 813 -4.354  0.251  4.080 -3.138  0.264  3.530  5.139  9.523  13.572 *
2017-10-06T13:53:47.000Z A 843 -4.707  0.170  4.629 -3.570  0.267  3.491  5.884  9.543  13.337 *
2017-10-06T13:53:47.000Z A 839 -4.707  0.248  4.315 -2.981  0.206  3.373  5.649  9.494  14.122 *
2017-10-06T13:53:49.000Z A 825 -4.629  0.237  4.040 -3.060  0.234  2.981  5.688  9.520  13.455 *
2017-10-06T13:53:50.000Z A 841 -4.511  0.192  4.433 -3.648  0.244  2.942  5.923  9.528  13.415 *
2017-10-06T13:53:51.000Z A 809 -4.668  0.207  4.472 -3.923  0.259  3.138  5.570  9.539  13.572 *
2017-10-06T13:53:52.000Z A 840 -4.472  0.210  4.315 -3.256  0.254  3.177  5.570  9.507  13.533 *
2017-10-06T13:53:52.000Z A 834 -4.786  0.217  4.276 -3.256  0.203  3.217  5.884  9.513  13.376 *
2017-10-06T13:53:54.000Z A 826 -4.590  0.251  4.511 -3.138  0.249  2.903  5.374  9.504  14.082 *
2017-10-06T13:53:55.000Z A 841 -4.354  0.219  4.629 -2.981  0.239  2.785  5.727  9.549  13.729 *
2017-10-06T13:53:56.000Z A 809 -4.746  0.278  4.864 -3.413  0.246  3.020  5.649  9.484  13.690 *
2017-10-06T13:53:57.000Z A 841 -4.746  0.234  4.668 -3.060  0.245  3.452  5.570  9.525  13.808 *
2017-10-06T13:53:57.000Z A 821 -4.550  0.220  4.393 -2.864  0.214  3.295  5.296  9.516  13.651 *
2017-10-06T13:53:59.000Z A 823 -4.511  0.168  4.550 -3.177  0.234  2.981  5.962  9.544  14.082 *
2017-10-06T13:54:00.000Z A 843 -4.550  0.188  4.511 -3.256  0.244  3.099  6.002  9.553  13.572 *
2017-10-06T13:54:01.000Z A 807 -4.511  0.258  4.590 -3.217  0.237  3.491  5.452  9.502  13.808 *
2017-10-06T13:54:02.000Z A 843 -4.472  0.175  4.276 -3.256  0.263  3.413  5.884  9.565  13.729 *
2017-10-06T13:54:02.000Z A 841 -4.590  0.251  4.590 -3.452  0.212  3.530  5.806  9.513  14.239 *
2017-10-06T13:54:04.000Z A 826 -4.472  0.183  4.433 -3.060  0.233  3.177  5.570  9.557  13.612 *
2017-10-06T13:54:05.000Z A 840 -5.099  0.206  4.237 -3.177  0.257  2.667  5.962  9.540  13.886 *
2017-10-06T13:54:06.000Z A 810 -4.472  0.184  4.864 -3.217  0.236  2.981  6.002  9.518  13.612 *
2017-10-06T13:54:07.000Z A 841 -4.746  0.197  4.707 -3.295  0.255  3.256  5.492  9.540  13.494 *
